# gunzip -c /z/mkperez/PremanifestHD-classification/Data/Spont-Speech/set0/exp/mono_clinician/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py /z/mkperez/PremanifestHD-classification/Data/Spont-Speech/set0/lang_all_clinician 
# Started at Mon Jan 28 18:13:56 EST 2019
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 47.1482889734% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 53.2319391635% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 52.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,11.5,41) frames.
At utterance begin, sil accounts for 47.1% of phone occurrences, with duration (median, mean, 95-percentile) is (17,26.3,74) frames.
At utterance begin, y_B accounts for 12.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,17.2,40) frames.
At utterance begin, s_B accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.7,18) frames.
At utterance begin, ae_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.9,9) frames.
At utterance begin, ih_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.0,11) frames.
At utterance begin, w_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,19.9,45) frames.
At utterance begin, b_B accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.7,10) frames.
At utterance begin, dh_B accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,13.9,11) frames.
At utterance begin, flr_S accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,19.8,28) frames.
At utterance begin, iy_S accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.8,6) frames.
At utterance begin, ow_S accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,12.2,18) frames.
At utterance begin, ay_S accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,16.5,13) frames.
At utterance begin, m_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.5,5) frames.
At utterance begin, n_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.0,3) frames.
At utterance begin, p_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,11.2,19) frames.
At utterance begin, ah_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.7,3) frames.
At utterance begin, f_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.7,3) frames.
At utterance begin, ow_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.3,8) frames.
At utterance begin, r_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,15.0,7) frames.
At utterance begin, d_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, hh_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.5,4) frames.
At utterance begin, jh_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.5,4) frames.
At utterance begin, t_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.5,3) frames.
At utterance begin, th_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.5,3) frames.
At utterance end, sil accounts for 53.2% of phone occurrences, with duration (median, mean, 95-percentile) is (17,18.7,41) frames.
At utterance end, nonsilence accounts for 46.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,11.3,28) frames.
At utterance end, t_E accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,8.2,16) frames.
At utterance end, z_E accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.5,18) frames.
At utterance end, d_E accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.8,15) frames.
At utterance end, s_E accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.8,27) frames.
At utterance end, ae_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.9,13) frames.
At utterance end, ow_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,15.4,35) frames.
At utterance end, ey_E accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,10.9,13) frames.
At utterance end, l_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,8.7,14) frames.
At utterance end, iy_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.8,11) frames.
At utterance end, k_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.4,4) frames.
At utterance end, n_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,14.6,21) frames.
At utterance end, r_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,21.2,18) frames.
At utterance end, uw_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,8.6,9) frames.
At utterance end, spn_S accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,41.7,20) frames.
At utterance end, f_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,9.0,7) frames.
At utterance end, ah_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.0,3) frames.
At utterance end, er_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,10.5,3) frames.
At utterance end, ng_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.5,3) frames.
At utterance end, p_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,14.5,7) frames.
Overall, nonsilence accounts for 91.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.7,24) frames.
Overall, sil accounts for 9.0% of phone occurrences, with duration (median, mean, 95-percentile) is (20,30.1,94) frames.
Overall, ah_I accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.8,16) frames.
Overall, t_E accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.7,13) frames.
Overall, ih_I accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.0,11) frames.
Overall, n_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.9,23) frames.
Overall, eh_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.2,24) frames.
Overall, iy_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.1,27) frames.
Overall, d_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.9,18) frames.
Overall, dh_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,9.5,33) frames.
Overall, n_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.0,25) frames.
Overall, t_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.5,20) frames.
Overall, r_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,21) frames.
Overall, w_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.9,27) frames.
Overall, ih_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.9,17) frames.
Overall, z_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.0,23) frames.
Overall, ae_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.7,24) frames.
Overall, l_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.2,25) frames.
Overall, s_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,18) frames.
Overall, s_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.0,24) frames.
Overall, y_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.9,40) frames.
Overall, ow_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,11.8,36) frames.
Overall, ah_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.9,13) frames.
Overall, b_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,14) frames.
Overall, hh_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.8,16) frames.
Overall, t_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,18) frames.
Overall, iy_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.2,28) frames.
Overall, n_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.6,15) frames.
Overall, s_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.7,17) frames.
Overall, aa_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.8,27) frames.
Overall, d_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,13) frames.
Overall, k_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.8,17) frames.
Overall, ae_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.4,21) frames.
Overall, ay_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.9,26) frames.
Overall, l_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,11.4,37) frames.
