# gunzip -c /z/mkperez/PremanifestHD-classification/Data/Spont-Speech/set2/exp/mono_ali_clinician/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py /z/mkperez/PremanifestHD-classification/Data/Spont-Speech/set2/lang_all_clinician 
# Started at Mon Jan 28 18:48:17 EST 2019
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 43.1818181818% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 48.4848484848% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 56.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,11.9,38) frames.
At utterance begin, sil accounts for 43.2% of phone occurrences, with duration (median, mean, 95-percentile) is (20,26.7,66) frames.
At utterance begin, y_B accounts for 13.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,17.1,40) frames.
At utterance begin, w_B accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.1,11) frames.
At utterance begin, s_B accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,8.7,22) frames.
At utterance begin, ih_B accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,8.7,19) frames.
At utterance begin, dh_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,13.4,11) frames.
At utterance begin, ae_B accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.0,9) frames.
At utterance begin, b_B accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.0,10) frames.
At utterance begin, iy_S accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,9.2,9) frames.
At utterance begin, flr_S accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,41.0,28) frames.
At utterance begin, ah_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, m_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.4,12) frames.
At utterance begin, ow_S accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,15.2,15) frames.
At utterance begin, ow_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.0,6) frames.
At utterance begin, ay_S accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,19.0,12) frames.
At utterance begin, f_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.3,3) frames.
At utterance begin, n_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.0,3) frames.
At utterance begin, p_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,14.0,19) frames.
At utterance begin, r_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,15.0,7) frames.
At utterance begin, d_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, jh_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,4) frames.
At utterance begin, t_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.5,3) frames.
At utterance begin, th_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.5,3) frames.
At utterance end, nonsilence accounts for 51.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.2,27) frames.
At utterance end, sil accounts for 48.5% of phone occurrences, with duration (median, mean, 95-percentile) is (17,19.8,37) frames.
At utterance end, t_E accounts for 6.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.4,19) frames.
At utterance end, z_E accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,17) frames.
At utterance end, d_E accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,9.2,21) frames.
At utterance end, ae_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.8,20) frames.
At utterance end, ow_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,14.4,32) frames.
At utterance end, s_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,12.4,22) frames.
At utterance end, iy_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,15.1,22) frames.
At utterance end, r_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,19.0,28) frames.
At utterance end, ey_E accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,11.3,13) frames.
At utterance end, l_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,8.5,14) frames.
At utterance end, uw_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,10.0,17) frames.
At utterance end, k_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.8,6) frames.
At utterance end, n_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.8,3) frames.
At utterance end, ng_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.5,3) frames.
At utterance end, spn_S accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,22.7,23) frames.
At utterance end, f_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,9.0,7) frames.
At utterance end, ah_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.5,3) frames.
At utterance end, er_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,10.5,3) frames.
At utterance end, m_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,17.0,13) frames.
Overall, nonsilence accounts for 91.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.8,24) frames.
Overall, sil accounts for 8.3% of phone occurrences, with duration (median, mean, 95-percentile) is (20,30.9,95) frames.
Overall, ah_I accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.0,16) frames.
Overall, t_E accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.0,16) frames.
