# gunzip -c /z/mkperez/PremanifestHD-classification/Data/Spont-Speech/set6/exp/mono_ali_clinician/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py /z/mkperez/PremanifestHD-classification/Data/Spont-Speech/set6/exp/mono_ali_clinician/graph 
# Started at Mon Jan 28 18:56:14 EST 2019
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 75.0% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 50.0% of the time at utterance end.  This may not be optimal.
At utterance begin, sil accounts for 75.0% of phone occurrences, with duration (median, mean, 95-percentile) is (24,51.7,106) frames.
At utterance begin, nonsilence accounts for 25.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.5,5) frames.
At utterance begin, dh_B accounts for 12.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.0,10) frames.
At utterance begin, f_B accounts for 12.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.0,5) frames.
At utterance end, nonsilence accounts for 50.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.0,17) frames.
At utterance end, sil accounts for 50.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.5,13) frames.
At utterance end, d_E accounts for 12.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, iy_E accounts for 12.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,8) frames.
At utterance end, iy_S accounts for 12.5% of phone occurrences, with duration (median, mean, 95-percentile) is (20,20.0,20) frames.
At utterance end, t_E accounts for 12.5% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.0,17) frames.
Overall, nonsilence accounts for 89.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.7,26) frames.
Overall, sil accounts for 10.4% of phone occurrences, with duration (median, mean, 95-percentile) is (24,39.7,106) frames.
Overall, ah_I accounts for 6.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.6,15) frames.
Overall, n_I accounts for 5.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.6,29) frames.
Overall, l_I accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,11.0,18) frames.
Overall, ih_I accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.2,23) frames.
Overall, w_B accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,15.0,20) frames.
Overall, ae_I accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.9,16) frames.
Overall, iy_E accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.1,14) frames.
Overall, k_I accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.9,13) frames.
Overall, d_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.8,5) frames.
Overall, f_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.2,16) frames.
