# gunzip -c /z/mkperez/PremanifestHD-classification/Data/Spont-Speech/set5/exp/mono_clinician/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py /z/mkperez/PremanifestHD-classification/Data/Spont-Speech/set5/lang_all_clinician 
# Started at Mon Jan 28 18:52:55 EST 2019
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 40.7258064516% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 47.5806451613% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 59.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,11.4,34) frames.
At utterance begin, sil accounts for 40.7% of phone occurrences, with duration (median, mean, 95-percentile) is (17,23.0,47) frames.
At utterance begin, y_B accounts for 13.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,16.7,38) frames.
At utterance begin, ih_B accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.5,16) frames.
At utterance begin, s_B accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,8.9,17) frames.
At utterance begin, b_B accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,10) frames.
At utterance begin, w_B accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,9.5,12) frames.
At utterance begin, ae_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.9,14) frames.
At utterance begin, dh_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.7,9) frames.
At utterance begin, flr_S accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,18.8,28) frames.
At utterance begin, ah_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.6,10) frames.
At utterance begin, ay_S accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,16.0,21) frames.
At utterance begin, m_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.6,4) frames.
At utterance begin, n_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.0,3) frames.
At utterance begin, ow_S accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,19.4,22) frames.
At utterance begin, p_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,10.8,18) frames.
At utterance begin, f_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.3,3) frames.
At utterance begin, iy_S accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,15.0,9) frames.
At utterance begin, ow_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,12.7,5) frames.
At utterance begin, r_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.7,3) frames.
At utterance begin, d_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, jh_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.5,3) frames.
At utterance begin, t_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.5,3) frames.
At utterance begin, th_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,13.5,3) frames.
At utterance end, nonsilence accounts for 52.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,11.3,29) frames.
At utterance end, sil accounts for 47.6% of phone occurrences, with duration (median, mean, 95-percentile) is (16,18.0,35) frames.
At utterance end, t_E accounts for 5.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,8.3,16) frames.
At utterance end, z_E accounts for 5.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,16) frames.
At utterance end, ow_E accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (15,19.2,36) frames.
At utterance end, ae_E accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,11.9,18) frames.
At utterance end, d_E accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.9,8) frames.
At utterance end, l_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,10.9,21) frames.
At utterance end, r_E accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,18.9,16) frames.
At utterance end, s_E accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,10.1,17) frames.
At utterance end, ey_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,8.5,11) frames.
At utterance end, iy_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.8,21) frames.
At utterance end, n_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.2,3) frames.
At utterance end, uw_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,8.5,9) frames.
At utterance end, k_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.0,6) frames.
At utterance end, spn_S accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,43.0,24) frames.
At utterance end, ah_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.7,3) frames.
At utterance end, ng_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.0,3) frames.
At utterance end, f_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,10.0,3) frames.
At utterance end, p_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.5,8) frames.
